value_metric,feature,contrast,estimate,SE,df,t.ratio,p.value
corrected_fc,delta_auc_late_minus_early,5-3,0.07094297908014915,NA,NA,NA,0.9997989418870707
corrected_fc,delta_auc_late_minus_early,6-3,0.2929820798225874,NA,NA,NA,0.3790833750622028
corrected_fc,delta_auc_late_minus_early,7-3,0.203170726147326,NA,NA,NA,0.8243938323061288
corrected_fc,delta_auc_late_minus_early,8-3,0.25174703679185506,NA,NA,NA,0.5916938133101455
corrected_fc,delta_auc_late_minus_early,9-3,0.2872348952309343,NA,NA,NA,0.4070257928238523
corrected_fc,delta_auc_late_minus_early,6-5,0.2220391007424382,NA,NA,NA,0.742364770211136
corrected_fc,delta_auc_late_minus_early,7-5,0.13222774706717683,NA,NA,NA,0.983885327447015
corrected_fc,delta_auc_late_minus_early,8-5,0.18080405771170588,NA,NA,NA,0.9005492552988594
corrected_fc,delta_auc_late_minus_early,9-5,0.21629191615078514,NA,NA,NA,0.7688397201853994
corrected_fc,delta_auc_late_minus_early,7-6,-0.08981135367526139,NA,NA,NA,0.998856883577617
corrected_fc,delta_auc_late_minus_early,8-6,-0.041235043030732346,NA,NA,NA,0.999996908032083
corrected_fc,delta_auc_late_minus_early,9-6,-0.005747184591653076,NA,NA,NA,0.9999999999996797
corrected_fc,delta_auc_late_minus_early,8-7,0.04857631064452904,NA,NA,NA,0.9999889043299619
corrected_fc,delta_auc_late_minus_early,9-7,0.08406416908360831,NA,NA,NA,0.9992928516905049
corrected_fc,delta_auc_late_minus_early,9-8,0.03548785843907927,NA,NA,NA,0.9999990486050498
corrected_fc,depression_abs,10-1,-9.924858233896214e-4,NA,NA,NA,0.9999991110747007
corrected_fc,depression_abs,2-1,-9.924858233896236e-4,NA,NA,NA,0.9999991110747007
corrected_fc,depression_abs,3-1,-9.924858233896262e-4,NA,NA,NA,0.9999991110747007
corrected_fc,depression_abs,5-1,0.002277735774665248,NA,NA,NA,0.9994737798529316
corrected_fc,depression_abs,6-1,-9.92485823389622e-4,NA,NA,NA,0.9999991110747007
corrected_fc,depression_abs,7-1,0.007615841792001454,NA,NA,NA,0.49515367836364155
corrected_fc,depression_abs,8-1,-9.924858233896165e-4,NA,NA,NA,0.9999991110747007
corrected_fc,depression_abs,9-1,-9.924858233896217e-4,NA,NA,NA,0.9999991110747007
corrected_fc,depression_abs,2-10,-2.1804510357764033e-18,NA,NA,NA,1
corrected_fc,depression_abs,3-10,-4.746396177325431e-18,NA,NA,NA,1
corrected_fc,depression_abs,5-10,0.0032702215980548698,NA,NA,NA,0.9931964143999386
corrected_fc,depression_abs,6-10,-6.86661375907486e-19,NA,NA,NA,1
corrected_fc,depression_abs,7-10,0.008608327615391076,NA,NA,NA,0.3229613090465506
corrected_fc,depression_abs,8-10,4.927096539406348e-18,NA,NA,NA,1
corrected_fc,depression_abs,9-10,-1.5660698047012825e-19,NA,NA,NA,1
corrected_fc,depression_abs,3-2,-2.5659451415490277e-18,NA,NA,NA,1
corrected_fc,depression_abs,5-2,0.003270221598054872,NA,NA,NA,0.9931964143999386
corrected_fc,depression_abs,6-2,1.4937896598689173e-18,NA,NA,NA,1
corrected_fc,depression_abs,7-2,0.008608327615391077,NA,NA,NA,0.32296130904654996
corrected_fc,depression_abs,8-2,7.107547575182751e-18,NA,NA,NA,1
corrected_fc,depression_abs,9-2,2.023844055306275e-18,NA,NA,NA,1
corrected_fc,depression_abs,5-3,0.0032702215980548745,NA,NA,NA,0.9931964143999386
corrected_fc,depression_abs,6-3,4.059734801417945e-18,NA,NA,NA,1
corrected_fc,depression_abs,7-3,0.008608327615391079,NA,NA,NA,0.32296130904654996
corrected_fc,depression_abs,8-3,9.673492716731779e-18,NA,NA,NA,1
corrected_fc,depression_abs,9-3,4.589789196855303e-18,NA,NA,NA,1
corrected_fc,depression_abs,6-5,-0.0032702215980548706,NA,NA,NA,0.9931964143999386
corrected_fc,depression_abs,7-5,0.005338106017336206,NA,NA,NA,0.8747795787693131
corrected_fc,depression_abs,8-5,-0.003270221598054865,NA,NA,NA,0.9931964143999387
corrected_fc,depression_abs,9-5,-0.0032702215980548698,NA,NA,NA,0.9931964143999386
corrected_fc,depression_abs,7-6,0.008608327615391076,NA,NA,NA,0.3229613090465506
corrected_fc,depression_abs,8-6,5.6137579153138334e-18,NA,NA,NA,1
corrected_fc,depression_abs,9-6,5.300543954373578e-19,NA,NA,NA,1
corrected_fc,depression_abs,8-7,-0.00860832761539107,NA,NA,NA,0.32296130904655085
corrected_fc,depression_abs,9-7,-0.008608327615391076,NA,NA,NA,0.3229613090465506
corrected_fc,depression_abs,9-8,-5.083703519876476e-18,NA,NA,NA,1
corrected_fc,min_slope,10-1,0.050457394000631095,NA,NA,NA,0.9945505739332643
corrected_fc,min_slope,2-1,0.004974414405418404,NA,NA,NA,0.9999999999103582
corrected_fc,min_slope,3-1,-0.07132311325821897,NA,NA,NA,0.9514307141856684
corrected_fc,min_slope,5-1,-0.007148948450960646,NA,NA,NA,0.999999998379083
corrected_fc,min_slope,6-1,-0.018976291715820326,NA,NA,NA,0.9999963006311365
corrected_fc,min_slope,7-1,-0.05032299580064986,NA,NA,NA,0.9946485635552669
corrected_fc,min_slope,8-1,0.03040434163398925,NA,NA,NA,0.9998601862774763
corrected_fc,min_slope,9-1,0.09198944878370646,NA,NA,NA,0.8190038233081396
corrected_fc,min_slope,2-10,-0.04548297959521269,NA,NA,NA,0.9973401731340654
corrected_fc,min_slope,3-10,-0.12178050725885006,NA,NA,NA,0.49104798871607214
corrected_fc,min_slope,5-10,-0.05760634245159174,NA,NA,NA,0.9868667809761222
corrected_fc,min_slope,6-10,-0.06943368571645142,NA,NA,NA,0.958427970211154
corrected_fc,min_slope,7-10,-0.10078038980128096,NA,NA,NA,0.7327345175630633
corrected_fc,min_slope,8-10,-0.020053052366641844,NA,NA,NA,0.9999943067869074
corrected_fc,min_slope,9-10,0.04153205478307537,NA,NA,NA,0.9986041229667151
corrected_fc,min_slope,3-2,-0.07629752766363737,NA,NA,NA,0.9291374405142876
corrected_fc,min_slope,5-2,-0.01212336285637905,NA,NA,NA,0.9999998917496835
corrected_fc,min_slope,6-2,-0.02395070612123873,NA,NA,NA,0.9999774032675957
corrected_fc,min_slope,7-2,-0.055297410206068265,NA,NA,NA,0.9899416868247177
corrected_fc,min_slope,8-2,0.025429927228570848,NA,NA,NA,0.9999641540737434
corrected_fc,min_slope,9-2,0.08701503437828806,NA,NA,NA,0.8604848045272118
corrected_fc,min_slope,5-3,0.06417416480725832,NA,NA,NA,0.9740665796062649
corrected_fc,min_slope,6-3,0.05234682154239864,NA,NA,NA,0.9930137634860527
corrected_fc,min_slope,7-3,0.021000117457569106,NA,NA,NA,0.999991843450329
corrected_fc,min_slope,8-3,0.10172745489220822,NA,NA,NA,0.7226147735608028
corrected_fc,min_slope,9-3,0.16331256204192543,NA,NA,NA,0.12725846898253934
corrected_fc,min_slope,6-5,-0.01182734326485968,NA,NA,NA,0.9999999110165442
corrected_fc,min_slope,7-5,-0.043174047349689215,NA,NA,NA,0.998158901248122
corrected_fc,min_slope,8-5,0.0375532900849499,NA,NA,NA,0.9993271666111091
corrected_fc,min_slope,9-5,0.09913839723466711,NA,NA,NA,0.7499420099786337
corrected_fc,min_slope,7-6,-0.031346704084829535,NA,NA,NA,0.9998240376761047
corrected_fc,min_slope,8-6,0.04938063334980958,NA,NA,NA,0.9952965135794105
corrected_fc,min_slope,9-6,0.11096574049952679,NA,NA,NA,0.6182523970661866
corrected_fc,min_slope,8-7,0.08072733743463911,NA,NA,NA,0.9042528090223564
corrected_fc,min_slope,9-7,0.14231244458435632,NA,NA,NA,0.2753955429106252
corrected_fc,min_slope,9-8,0.06158510714971721,NA,NA,NA,0.9799081576971271
corrected_fc,time_to_peak,10-1,0.055555555555557135,NA,NA,NA,0.9767540860316926
corrected_fc,time_to_peak,2-1,0.055555555555557135,NA,NA,NA,0.9767540860316926
corrected_fc,time_to_peak,3-1,0.055555555555557135,NA,NA,NA,0.9767540860316926
corrected_fc,time_to_peak,5-1,1.7763568394002505e-15,NA,NA,NA,1
corrected_fc,time_to_peak,6-1,0.055555555555557135,NA,NA,NA,0.9767540860316926
corrected_fc,time_to_peak,7-1,-0.055555555555554026,NA,NA,NA,0.9767540860317007
corrected_fc,time_to_peak,8-1,0.055555555555557135,NA,NA,NA,0.9767540860316926
corrected_fc,time_to_peak,9-1,0.055555555555557135,NA,NA,NA,0.9767540860316926
corrected_fc,time_to_peak,2-10,0,NA,NA,NA,1
corrected_fc,time_to_peak,3-10,0,NA,NA,NA,1
corrected_fc,time_to_peak,5-10,-0.05555555555555536,NA,NA,NA,0.9767540860316972
corrected_fc,time_to_peak,6-10,0,NA,NA,NA,1
corrected_fc,time_to_peak,7-10,-0.11111111111111116,NA,NA,NA,0.44157953598406985
corrected_fc,time_to_peak,8-10,0,NA,NA,NA,1
corrected_fc,time_to_peak,9-10,0,NA,NA,NA,1
corrected_fc,time_to_peak,3-2,0,NA,NA,NA,1
corrected_fc,time_to_peak,5-2,-0.05555555555555536,NA,NA,NA,0.9767540860316972
corrected_fc,time_to_peak,6-2,0,NA,NA,NA,1
corrected_fc,time_to_peak,7-2,-0.11111111111111116,NA,NA,NA,0.44157953598406985
corrected_fc,time_to_peak,8-2,0,NA,NA,NA,1
corrected_fc,time_to_peak,9-2,0,NA,NA,NA,1
corrected_fc,time_to_peak,5-3,-0.05555555555555536,NA,NA,NA,0.9767540860316972
corrected_fc,time_to_peak,6-3,0,NA,NA,NA,1
corrected_fc,time_to_peak,7-3,-0.11111111111111116,NA,NA,NA,0.44157953598406985
corrected_fc,time_to_peak,8-3,0,NA,NA,NA,1
corrected_fc,time_to_peak,9-3,0,NA,NA,NA,1
corrected_fc,time_to_peak,6-5,0.05555555555555536,NA,NA,NA,0.9767540860316972
corrected_fc,time_to_peak,7-5,-0.0555555555555558,NA,NA,NA,0.9767540860316961
corrected_fc,time_to_peak,8-5,0.05555555555555536,NA,NA,NA,0.9767540860316972
corrected_fc,time_to_peak,9-5,0.05555555555555536,NA,NA,NA,0.9767540860316972
corrected_fc,time_to_peak,7-6,-0.11111111111111116,NA,NA,NA,0.44157953598406985
corrected_fc,time_to_peak,8-6,0,NA,NA,NA,1
corrected_fc,time_to_peak,9-6,0,NA,NA,NA,1
corrected_fc,time_to_peak,8-7,0.11111111111111116,NA,NA,NA,0.44157953598406985
corrected_fc,time_to_peak,9-7,0.11111111111111116,NA,NA,NA,0.44157953598406985
corrected_fc,time_to_peak,9-8,0,NA,NA,NA,1
corrected_fc,time_to_vmax,10-1,0.16666666666666552,NA,NA,NA,0.9927751232391535
corrected_fc,time_to_vmax,2-1,0.22222222222222232,NA,NA,NA,0.9558803734758236
corrected_fc,time_to_vmax,3-1,0.27777777777777635,NA,NA,NA,0.8552604642507871
corrected_fc,time_to_vmax,5-1,0.11111111111111038,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,6-1,0.5555555555555548,NA,NA,NA,0.07576570170668906
corrected_fc,time_to_vmax,7-1,0.2777777777777768,NA,NA,NA,0.855260464250786
corrected_fc,time_to_vmax,8-1,0.11111111111111038,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,9-1,0.3888888888888883,NA,NA,NA,0.47973024446706236
corrected_fc,time_to_vmax,2-10,0.0555555555555568,NA,NA,NA,0.9999980063483849
corrected_fc,time_to_vmax,3-10,0.11111111111111083,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,5-10,-0.055555555555555136,NA,NA,NA,0.9999980063483849
corrected_fc,time_to_vmax,6-10,0.3888888888888893,NA,NA,NA,0.4797302444670588
corrected_fc,time_to_vmax,7-10,0.11111111111111127,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,8-10,-0.055555555555555136,NA,NA,NA,0.9999980063483849
corrected_fc,time_to_vmax,9-10,0.22222222222222276,NA,NA,NA,0.955880373475823
corrected_fc,time_to_vmax,3-2,0.055555555555554026,NA,NA,NA,0.9999980063483849
corrected_fc,time_to_vmax,5-2,-0.11111111111111194,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,6-2,0.3333333333333325,NA,NA,NA,0.6842232800309901
corrected_fc,time_to_vmax,7-2,0.05555555555555447,NA,NA,NA,0.9999980063483849
corrected_fc,time_to_vmax,8-2,-0.11111111111111194,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,9-2,0.16666666666666596,NA,NA,NA,0.9927751232391535
corrected_fc,time_to_vmax,5-3,-0.16666666666666596,NA,NA,NA,0.9927751232391535
corrected_fc,time_to_vmax,6-3,0.27777777777777846,NA,NA,NA,0.8552604642507817
corrected_fc,time_to_vmax,7-3,4.440892098500626e-16,NA,NA,NA,1
corrected_fc,time_to_vmax,8-3,-0.16666666666666596,NA,NA,NA,0.9927751232391535
corrected_fc,time_to_vmax,9-3,0.11111111111111194,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,6-5,0.4444444444444444,NA,NA,NA,0.29386091142656423
corrected_fc,time_to_vmax,7-5,0.1666666666666664,NA,NA,NA,0.9927751232391533
corrected_fc,time_to_vmax,8-5,0,NA,NA,NA,1
corrected_fc,time_to_vmax,9-5,0.2777777777777779,NA,NA,NA,0.8552604642507831
corrected_fc,time_to_vmax,7-6,-0.277777777777778,NA,NA,NA,0.8552604642507828
corrected_fc,time_to_vmax,8-6,-0.4444444444444444,NA,NA,NA,0.29386091142656423
corrected_fc,time_to_vmax,9-6,-0.16666666666666652,NA,NA,NA,0.9927751232391533
corrected_fc,time_to_vmax,8-7,-0.1666666666666664,NA,NA,NA,0.9927751232391533
corrected_fc,time_to_vmax,9-7,0.1111111111111115,NA,NA,NA,0.9995931075756838
corrected_fc,time_to_vmax,9-8,0.2777777777777779,NA,NA,NA,0.8552604642507831
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,10-1,1.0039577261177053e-4,NA,NA,NA,0.9976058188737393
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,2-1,-1.2331968063271153e-4,NA,NA,NA,0.9902480495614998
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,3-1,-1.9506980020307576e-4,NA,NA,NA,0.8601317869192489
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,5-1,-7.850693583213882e-5,NA,NA,NA,0.9995961059317768
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,6-1,1.7191866883078147e-4,NA,NA,NA,0.9269313540102642
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,7-1,3.335601023756125e-5,NA,NA,NA,0.999999450688991
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,8-1,6.136187991871212e-5,NA,NA,NA,0.9999367759890804
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-1,7.941371050153561e-5,NA,NA,NA,0.9995602983366457
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,2-10,-2.2371545324448208e-4,NA,NA,NA,0.7425885758075466
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,3-10,-2.954655728148463e-4,NA,NA,NA,0.3780945987067771
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,5-10,-1.7890270844390935e-4,NA,NA,NA,0.9095986663848015
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,6-10,7.152289621901092e-5,NA,NA,NA,0.9997983292251582
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,7-10,-6.703976237420929e-5,NA,NA,NA,0.9998761539155081
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,8-10,-3.9033892693058414e-5,NA,NA,NA,0.9999981071157689
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-10,-2.098206211023492e-5,NA,NA,NA,0.9999999860779799
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,3-2,-7.175011957036423e-5,NA,NA,NA,0.999793473558581
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,5-2,4.481274480057273e-5,NA,NA,NA,0.9999944229277099
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,6-2,2.95238349463493e-4,NA,NA,NA,0.3791732707130385
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,7-2,1.5667569087027277e-4,NA,NA,NA,0.9566822134270767
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,8-2,1.8468156055142365e-4,NA,NA,NA,0.8934189596487538
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-2,2.0273339113424714e-4,NA,NA,NA,0.8321962644204586
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,5-3,1.1656286437093695e-4,NA,NA,NA,0.9932995562223718
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,6-3,3.669884690338572e-4,NA,NA,NA,0.12480310587934829
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,7-3,2.28425810440637e-4,NA,NA,NA,0.7202438637661832
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,8-3,2.564316801217879e-4,NA,NA,NA,0.5773279256333812
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-3,2.7448351070461137e-4,NA,NA,NA,0.4826532937109198
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,6-5,2.504256046629203e-4,NA,NA,NA,0.6088814304588259
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,7-5,1.1186294606970006e-4,NA,NA,NA,0.9949304762111582
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,8-5,1.3986881575085093e-4,NA,NA,NA,0.9781371996698431
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-5,1.5792064633367444e-4,NA,NA,NA,0.9546460234409366
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,7-6,-1.3856265859322022e-4,NA,NA,NA,0.979379641228842
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,8-6,-1.1055678891206934e-4,NA,NA,NA,0.9953216425999715
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-6,-9.250495832924584e-5,NA,NA,NA,0.998662531509328
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,8-7,2.8005869681150873e-5,NA,NA,NA,0.9999998621242169
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-7,4.605770026397437e-5,NA,NA,NA,0.9999930946103099
metabolism_per_area_mm2_measurement,delta_auc_late_minus_early,9-8,1.8051830582823494e-5,NA,NA,NA,0.9999999957970316
metabolism_per_area_mm2_measurement,depression_abs,10-1,-9.258582837183884e-7,NA,NA,NA,0.9999997129074931
metabolism_per_area_mm2_measurement,depression_abs,2-1,-9.258582837183852e-7,NA,NA,NA,0.9999997129074931
metabolism_per_area_mm2_measurement,depression_abs,3-1,-9.258582837183922e-7,NA,NA,NA,0.9999997129074931
metabolism_per_area_mm2_measurement,depression_abs,5-1,1.330998506030576e-6,NA,NA,NA,0.9999950174570398
metabolism_per_area_mm2_measurement,depression_abs,6-1,-9.258582837183838e-7,NA,NA,NA,0.9999997129074931
metabolism_per_area_mm2_measurement,depression_abs,7-1,8.777358262498209e-6,NA,NA,NA,0.39816637991207837
metabolism_per_area_mm2_measurement,depression_abs,8-1,-9.258582837183902e-7,NA,NA,NA,0.9999997129074931
metabolism_per_area_mm2_measurement,depression_abs,9-1,-9.258582837183883e-7,NA,NA,NA,0.9999997129074931
metabolism_per_area_mm2_measurement,depression_abs,2-10,3.2116665916725553e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,3-10,-3.776355223175423e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,5-10,2.2568567897489645e-6,NA,NA,NA,0.9997153528730551
metabolism_per_area_mm2_measurement,depression_abs,6-10,4.6233881704297224e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,7-10,9.703216546216597e-6,NA,NA,NA,0.26301032221964393
metabolism_per_area_mm2_measurement,depression_abs,8-10,-1.8234737058946743e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,9-10,7.058607893785837e-23,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,3-2,-6.988021814847978e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,5-2,2.256856789748961e-6,NA,NA,NA,0.9997153528730551
metabolism_per_area_mm2_measurement,depression_abs,6-2,1.4117215787571671e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,7-2,9.703216546216593e-6,NA,NA,NA,0.26301032221964415
metabolism_per_area_mm2_measurement,depression_abs,8-2,-5.03514029756723e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,9-2,-3.141080512734697e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,5-3,2.256856789748968e-6,NA,NA,NA,0.9997153528730551
metabolism_per_area_mm2_measurement,depression_abs,6-3,8.399743393605146e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,7-3,9.7032165462166e-6,NA,NA,NA,0.2630103222196435
metabolism_per_area_mm2_measurement,depression_abs,8-3,1.9528815172807486e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,9-3,3.846941302113281e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,6-5,-2.25685678974896e-6,NA,NA,NA,0.9997153528730551
metabolism_per_area_mm2_measurement,depression_abs,7-5,7.446359756467632e-6,NA,NA,NA,0.6261653420175524
metabolism_per_area_mm2_measurement,depression_abs,8-5,-2.2568567897489662e-6,NA,NA,NA,0.9997153528730551
metabolism_per_area_mm2_measurement,depression_abs,9-5,-2.256856789748964e-6,NA,NA,NA,0.9997153528730551
metabolism_per_area_mm2_measurement,depression_abs,7-6,9.703216546216592e-6,NA,NA,NA,0.2630103222196446
metabolism_per_area_mm2_measurement,depression_abs,8-6,-6.446861876324397e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,9-6,-4.552802091491864e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,depression_abs,8-7,-9.703216546216598e-6,NA,NA,NA,0.2630103222196437
metabolism_per_area_mm2_measurement,depression_abs,9-7,-9.703216546216597e-6,NA,NA,NA,0.26301032221964393
metabolism_per_area_mm2_measurement,depression_abs,9-8,1.8940597848325327e-21,NA,NA,NA,1
metabolism_per_area_mm2_measurement,initial_slope,10-1,3.118653770613569e-5,NA,NA,NA,0.999999991119366
metabolism_per_area_mm2_measurement,initial_slope,2-1,3.692511755263645e-4,NA,NA,NA,0.689077530250235
metabolism_per_area_mm2_measurement,initial_slope,3-1,5.232954168723536e-4,NA,NA,NA,0.22340304980985282
metabolism_per_area_mm2_measurement,initial_slope,5-1,3.07482443406191e-4,NA,NA,NA,0.8586063276137318
metabolism_per_area_mm2_measurement,initial_slope,6-1,1.717226851881983e-4,NA,NA,NA,0.9957050570097858
metabolism_per_area_mm2_measurement,initial_slope,7-1,2.8174038994295233e-4,NA,NA,NA,0.908963574569082
metabolism_per_area_mm2_measurement,initial_slope,8-1,1.6207322856474362e-4,NA,NA,NA,0.9971242165205457
metabolism_per_area_mm2_measurement,initial_slope,9-1,1.5027700114480136e-4,NA,NA,NA,0.9983135144213511
metabolism_per_area_mm2_measurement,initial_slope,2-10,3.380646378202288e-4,NA,NA,NA,0.7821445121126955
metabolism_per_area_mm2_measurement,initial_slope,3-10,4.921088791662179e-4,NA,NA,NA,0.29988303695569174
metabolism_per_area_mm2_measurement,initial_slope,5-10,2.762959057000553e-4,NA,NA,NA,0.9178973767591003
metabolism_per_area_mm2_measurement,initial_slope,6-10,1.405361474820626e-4,NA,NA,NA,0.9989577930020597
metabolism_per_area_mm2_measurement,initial_slope,7-10,2.5055385223681664e-4,NA,NA,NA,0.9522913213092226
metabolism_per_area_mm2_measurement,initial_slope,8-10,1.3088669085860793e-4,NA,NA,NA,0.9993792196937784
metabolism_per_area_mm2_measurement,initial_slope,9-10,1.1909046343866567e-4,NA,NA,NA,0.999691091312541
metabolism_per_area_mm2_measurement,initial_slope,3-2,1.5404424134598908e-4,NA,NA,NA,0.9979890225582093
metabolism_per_area_mm2_measurement,initial_slope,5-2,-6.176873212017354e-5,NA,NA,NA,0.9999980134129196
metabolism_per_area_mm2_measurement,initial_slope,6-2,-1.975284903381662e-4,NA,NA,NA,0.989003881119583
metabolism_per_area_mm2_measurement,initial_slope,7-2,-8.751078558341219e-5,NA,NA,NA,0.999970132039878
metabolism_per_area_mm2_measurement,initial_slope,8-2,-2.071779469616209e-4,NA,NA,NA,0.9850262327814603
metabolism_per_area_mm2_measurement,initial_slope,9-2,-2.1897417438156315e-4,NA,NA,NA,0.9787496339216843
metabolism_per_area_mm2_measurement,initial_slope,5-3,-2.1581297346616262e-4,NA,NA,NA,0.9805982683176488
metabolism_per_area_mm2_measurement,initial_slope,6-3,-3.515727316841553e-4,NA,NA,NA,0.7433911282610997
metabolism_per_area_mm2_measurement,initial_slope,7-3,-2.4155502692940127e-4,NA,NA,NA,0.9614460829003575
metabolism_per_area_mm2_measurement,initial_slope,8-3,-3.6122218830761e-4,NA,NA,NA,0.7141871187172615
metabolism_per_area_mm2_measurement,initial_slope,9-3,-3.7301841572755224e-4,NA,NA,NA,0.6770784513587504
metabolism_per_area_mm2_measurement,initial_slope,6-5,-1.3575975821799268e-4,NA,NA,NA,0.9991891277295795
metabolism_per_area_mm2_measurement,initial_slope,7-5,-2.574205346323865e-5,NA,NA,NA,0.9999999980744578
metabolism_per_area_mm2_measurement,initial_slope,8-5,-1.4540921484144736e-4,NA,NA,NA,0.9986675266157412
metabolism_per_area_mm2_measurement,initial_slope,9-5,-1.5720544226138962e-4,NA,NA,NA,0.9976785337928824
