ID,Family,20,43,66,91,167
125,7,0,0,0,0,1
126,7,0,0,0,0,1
127,7,0,0,0,0,1
128,7,0,0,0,0,1
129,7,0,0,0,0,1
130,7,0,0,0,0,1
131,7,0,0,0,0,1
132,7,0,0,0,0,1
133,7,0,0,0,0,1
134,7,0,0,0,0,0
135,7,0,0,0,0,0
136,7,0,0,0,0,0
137,8,1,1,1,1,1
138,8,0,0,1,1,1
139,8,0,0,1,1,1
140,8,0,0,0,1,1
141,8,0,0,0,1,1
142,8,0,0,0,0,1
143,8,0,0,0,0,1
144,8,0,0,0,0,1
145,8,0,0,0,0,1
146,8,0,0,0,0,1
147,8,0,0,0,0,1
148,8,0,0,0,0,1
149,8,0,0,0,0,1
150,8,0,0,0,0,1
151,8,0,0,0,0,1
152,8,0,0,0,0,1
153,8,0,0,0,0,1
154,8,0,0,0,0,0
155,8,0,0,0,0,0
156,8,0,0,0,0,0
157,8,0,0,0,0,0
158,9,1,1,1,1,1
159,9,0,1,1,1,1
160,9,0,1,1,1,1
161,9,0,0,1,1,1
162,9,0,0,1,1,1
163,9,0,0,1,1,1
164,9,0,0,0,1,1
165,9,0,0,0,1,1
166,9,0,0,0,1,1
167,9,0,0,0,1,1
168,9,0,0,0,1,1
169,9,0,0,0,1,1
170,9,0,0,0,0,1
171,9,0,0,0,0,1
172,9,0,0,0,0,1
173,9,0,0,0,0,1
174,9,0,0,0,0,1
175,9,0,0,0,0,1
176,9,0,0,0,0,1
177,9,0,0,0,0,1
178,9,0,0,0,0,1
179,9,0,0,0,0,1
180,9,0,0,0,0,1
181,9,0,0,0,0,0
182,9,0,0,0,0,0
183,9,0,0,0,0,0
184,10,0,1,1,1,1
185,10,0,1,1,1,1
186,10,0,0,0,1,1
187,10,0,0,0,1,1
188,10,0,0,0,1,1
189,10,0,0,0,0,1
190,10,0,0,0,0,1
191,10,0,0,0,0,1
192,10,0,0,0,0,1
193,10,0,0,0,0,1
194,10,0,0,0,0,1
195,10,0,0,0,0,1
196,10,0,0,0,0,1
197,10,0,0,0,0,1
198,10,0,0,0,0,1
199,10,0,0,0,0,1
200,10,0,0,0,0,1
201,10,0,0,0,0,1
202,10,0,0,0,0,1
203,10,0,0,0,0,1
204,10,0,0,0,0,0
