trace_id,plate_id,well_id,treatment_group,area_mm2_measurement,auc,metric,window
s-a02,s,A2,s,156.2,0.18741392434582504,metabolism_per_area_mm2_measurement,full_0_18.75h
s-a03,s,A3,s,139.9,0.5948334002218005,metabolism_per_area_mm2_measurement,full_0_18.75h
s-a04,s,A4,s,161.7,1.4062130534031798,metabolism_per_area_mm2_measurement,full_0_18.75h
s-b01,s,B1,s,103.1,0.39076051172768267,metabolism_per_area_mm2_measurement,full_0_18.75h
s-b02,s,B2,s,96,1.961362390350877,metabolism_per_area_mm2_measurement,full_0_18.75h
s-b03,s,B3,s,64.4,0.44518297305228155,metabolism_per_area_mm2_measurement,full_0_18.75h
s-b04,s,B4,s,114.2,2.2563924483855846,metabolism_per_area_mm2_measurement,full_0_18.75h
s-c01,s,C1,s,117.5,0.4797424412094064,metabolism_per_area_mm2_measurement,full_0_18.75h
s-c02,s,C2,s,126.5,2.321204371076494,metabolism_per_area_mm2_measurement,full_0_18.75h
s-c03,s,C3,s,133.9,0.6032717691384649,metabolism_per_area_mm2_measurement,full_0_18.75h
s-c04,s,C4,s,213.5,0.38798220791048654,metabolism_per_area_mm2_measurement,full_0_18.75h
t-a01,t,A1,t,66.7,0.2739115136309396,metabolism_per_area_mm2_measurement,full_0_18.75h
t-a02,t,A2,t,159.7,0.15501248907635884,metabolism_per_area_mm2_measurement,full_0_18.75h
t-a03,t,A3,t,165.2,0.1309310392996834,metabolism_per_area_mm2_measurement,full_0_18.75h
t-a04,t,A4,t,135.1,1.3820445415044553,metabolism_per_area_mm2_measurement,full_0_18.75h
t-b01,t,B1,t,97.6,0.19315157403174188,metabolism_per_area_mm2_measurement,full_0_18.75h
t-b02,t,B2,t,134.1,0.15251047764552428,metabolism_per_area_mm2_measurement,full_0_18.75h
t-b03,t,B3,t,100.3,0.21474638584247258,metabolism_per_area_mm2_measurement,full_0_18.75h
t-b04,t,B4,t,104.5,1.9126414521151363,metabolism_per_area_mm2_measurement,full_0_18.75h
t-c01,t,C1,t,128.2,0.14693724814629652,metabolism_per_area_mm2_measurement,full_0_18.75h
t-c02,t,C2,t,168,0.1315034237379162,metabolism_per_area_mm2_measurement,full_0_18.75h
t-c03,t,C3,t,181.4,0.6690660956096458,metabolism_per_area_mm2_measurement,full_0_18.75h
