"well","plate_row","plate_col","well_type","sample_id","label","std_nmol","source","od_first","od_last","od_max","net_change","frac_rising","max_step","typical_step","step_excess","glitch_at_min","step_ratio","flags"
"B3","B",3,"sample","F05_05_ambient","F05_05_ambient-citrate_synthase-11.5-df.0",NA,"absorbance_csv",0.929,0.667,0.954,-0.262,0.15,-0.033,0.0145,-0.019,20,2.27586206896552,"decreasing high-baseline"
"B5","B",5,"sample","F05_06_ambient","F05_06_ambient-citrate_synthase-30.2-df.0",NA,"absorbance_csv",0.841,0.696,0.878,-0.145,0.1,0.029,0.01,0.031,2,2.9,"decreasing glitch high-baseline"
"E1","E",1,"standard",NA,"STD-citrate_synthase-0",0,"absorbance_csv",0.1,0.1,0.1,0,0,0,0,0,2,0,"decreasing"
"E2","E",2,"standard",NA,"STD-citrate_synthase-0",0,"absorbance_csv",0.871,0.418,0.871,-0.453,0.05,-0.039,0.027,-0.012,2,1.44444444444445,"decreasing"
"E4","E",4,"standard",NA,"STD-citrate_synthase-8",8,"absorbance_csv",0.406,0.372,0.406,-0.034,0,-0.002,0.002,0.001,14,1,"decreasing"
"E5","E",5,"standard",NA,"STD-citrate_synthase-8",8,"absorbance_csv",0.421,0.384,0.421,-0.037,0,-0.004,0.002,0.003,2,2,"decreasing"
"E6","E",6,"standard",NA,"STD-citrate_synthase-8",8,"absorbance_csv",1.222,0.483,1.222,-0.739,0,-0.201,0.029,-0.163,10,6.93103448275862,"decreasing glitch"
"E7","E",7,"standard",NA,"STD-citrate_synthase-16",16,"absorbance_csv",1.349,1.099,1.349,-0.25,0.05,0.105,0.02,0.122,40,5.24999999999999,"decreasing glitch"
"E8","E",8,"standard",NA,"STD-citrate_synthase-16",16,"absorbance_csv",0.777,0.666,0.777,-0.111,0,-0.00700000000000001,0.00599999999999995,0.001,2,1.16666666666668,"decreasing"
"E9","E",9,"standard",NA,"STD-citrate_synthase-16",16,"absorbance_csv",1.167,0.841,1.167,-0.326,0,-0.021,0.017,0.00799999999999979,2,1.23529411764706,"decreasing"
"E10","E",10,"standard",NA,"STD-citrate_synthase-24",24,"absorbance_csv",1.791,1.473,1.81,-0.318,0.15,0.0659999999999998,0.0245,-0.0719999999999998,16,2.69387755102041,"decreasing over-range glitch"
"E11","E",11,"standard",NA,"STD-citrate_synthase-24",24,"absorbance_csv",1.425,1.108,1.454,-0.317,0.15,-0.0410000000000001,0.0239999999999999,0.0559999999999998,2,1.70833333333335,"decreasing glitch"
"E12","E",12,"standard",NA,"STD-citrate_synthase-24",24,"absorbance_csv",0.89,0.841,0.89,-0.049,0,-0.003,0.002,-0.001,16,1.5,"decreasing"
"F1","F",1,"standard",NA,"STD-citrate_synthase-32",32,"absorbance_csv",2.052,1.572,2.052,-0.48,0.05,0.0669999999999999,0.03,0.0914999999999999,26,2.23333333333333,"decreasing over-range glitch"
"F2","F",2,"standard",NA,"STD-citrate_synthase-32",32,"absorbance_csv",2.135,1.542,2.135,-0.593,0,-0.0530000000000002,0.0265,-0.0160000000000002,14,2.00000000000001,"decreasing over-range"
"F3","F",3,"standard",NA,"STD-citrate_synthase-32",32,"absorbance_csv",1.695,1.329,1.695,-0.366,0,-0.0250000000000001,0.018,-0.00400000000000023,2,1.3888888888889,"decreasing over-range"
"F4","F",4,"standard",NA,"STD-citrate_synthase-40",40,"absorbance_csv",2.189,1.737,2.189,-0.452,0,-0.026,0.023,0.00449999999999973,10,1.1304347826087,"decreasing over-range"
"F5","F",5,"standard",NA,"STD-citrate_synthase-40",40,"absorbance_csv",1.929,1.614,1.929,-0.315,0,-0.0229999999999999,0.016,-0.00649999999999984,8,1.43749999999999,"decreasing over-range"
"F6","F",6,"standard",NA,"STD-citrate_synthase-40",40,"absorbance_csv",2.101,1.738,2.101,-0.363,0,-0.0209999999999999,0.018,-0.00249999999999984,10,1.16666666666666,"decreasing over-range"
