experiment,trace_id,family_id_group,treatment_group,round_group,cup_id_group,sample_id_group,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
01.00-resazurin-20260415-36C,160,8,NA,NA,NA,160,corrected_fc,0.03964757709251099,19.87980552272483,19.87980552272483,0.03964757709251099,7,1,81.42188137960675,14.112904265606533,67.30897711400021,53.19607284839368,4.769321455544322,7.0551036853980875,7.0551036853980875,1.5,1.3597990759643288,4,4,19.84015794563232,19.84015794563232,0,0,1,0.6907455956158024,monotonic_increase,5
01.00-resazurin-20260415-36C,161,8,NA,NA,NA,161,corrected_fc,0.03964757709251099,10.12486412266148,10.12486412266148,0.03964757709251099,7,1,30.263962469248813,2.3726128497053605,27.891349619543455,25.518736769838092,11.755541837770584,0.08815721723210712,4.322163739344356,2.5,0.08815721723210712,1.5,2.5,10.085216545568969,10.085216545568969,0,0,1,1.0121498291180873,monotonic_increase,5
01.00-resazurin-20260415-36C,162,2,NA,NA,NA,162,corrected_fc,0.03964757709251099,11.780715763815715,11.780715763815715,0.03964757709251099,7,1,34.442968045804825,2.414285442242506,32.028682603562316,29.61439716131981,13.266319733019023,0.10815422310807554,4.345517906790743,2.5,0.10815422310807554,1.5,2.5,11.741068186723204,11.741068186723204,0,0,1,1.0403084287921294,monotonic_increase,5
01.00-resazurin-20260415-36C,163,2,NA,NA,NA,163,corrected_fc,0.03964757709251099,15.270972901101086,15.270972901101086,0.03964757709251099,7,1,49.046786412223135,6.18071752698297,42.86606888524017,36.6853513582572,6.935451862684402,2.475101851545162,4.777539190960409,2.5,1.4295575313362079,4,4,15.231325324008575,15.231325324008575,0,0,1,0.8593463371526942,monotonic_increase,5
01.00-resazurin-20260415-36C,164,2,NA,NA,NA,164,corrected_fc,0.03964757709251099,2.163508060372292,2.163508060372292,0.01925719884078614,7,2,3.918249395386439,0.30241228821397476,3.615837107172464,3.3134248189584894,11.95664742503467,-0.02039037825172485,0.8503374188995694,6,-0.03191468954035662,4,6,2.1238604832797807,2.1238604832797807,0,0,1,1.372867676976799,depress_then_recover,5
01.00-resazurin-20260415-36C,165,2,NA,NA,NA,165,corrected_fc,0.03964757709251099,0.7006663148982122,0.7006663148982122,0.03964757709251099,7,1,2.9122170002331487,0.43238928496926105,2.4798277152638875,2.0474384302946262,5.735173838639828,0.16134391910961673,0.22215650423962788,2.5,0.011329807468126174,6,6,0.6610187378057012,0.6610187378057012,0,0,1,0.7108998485129474,monotonic_increase,5
01.00-resazurin-20260415-36C,166,2,NA,NA,NA,166,corrected_fc,0.03964757709251099,14.26770712724632,14.26770712724632,0.03964757709251099,7,1,54.13597878885456,8.932272319318173,45.203706469536385,36.27143415021821,5.060717458397744,3.9702783620282123,5.795119244181665,2.5,0.3802159480957261,4,4,14.228059550153809,14.228059550153809,0,0,1,0.7312830049773642,monotonic_increase,5
01.00-resazurin-20260415-36C,167,2,NA,NA,NA,167,corrected_fc,0.03964757709251099,15.116867550705518,15.116867550705518,0.03964757709251099,7,1,40.025431583890516,2.1389504461190993,37.88648113777141,35.747530691652315,17.71265024232443,0.24044477738768755,3.3979762517050913,2.5,0.24044477738768755,1.5,2.5,15.077219973613007,15.077219973613007,0,0,1,1.1338508351579761,monotonic_increase,5
01.00-resazurin-20260415-36C,168,2,NA,NA,NA,168,corrected_fc,0.03964757709251099,7.926081655129011,7.926081655129011,0.03964757709251099,7,1,23.81615402769037,0.3933920704845814,23.422761957205786,23.029369886721206,59.540503519436896,0.06548405705894689,3.4715151038388923,4,0.06548405705894689,1.5,6,7.8864340780365,7.8864340780365,0,0,1,1.2749350687906498,monotonic_increase,5
01.00-resazurin-20260415-36C,169,2,NA,NA,NA,169,corrected_fc,0.03964757709251099,6.634045728574139,6.634045728574139,0.03964757709251099,7,1,29.66158891412637,5.441683303768386,24.219905610357984,18.778222306589598,4.450811313033526,2.6625131733116887,2.7372367792316603,2.5,0.28040727625007333,6,4,6.594398151481628,6.594398151481628,0,0,1,0.6611804781835966,monotonic_increase,5
01.00-resazurin-20260415-36C,17,3,NA,NA,NA,17,corrected_fc,0.03964757709251099,18.7423387272648,18.7423387272648,0.03964757709251099,7,1,43.77968832754893,1.9697711369626576,41.809917190586276,39.84014605362362,21.22577410442526,0.16028014381047917,4.479284561558739,6,0.16028014381047917,1.5,2.5,18.702691150172292,18.702691150172292,0,0,1,1.227720059538723,monotonic_increase,5
01.00-resazurin-20260415-36C,170,2,NA,NA,NA,170,corrected_fc,0.03964757709251099,16.220180704097043,16.220180704097043,0.03964757709251099,7,1,43.764795771923474,2.362938812694213,41.401856959229264,39.03891814653505,17.521341109981194,0.23860054161310862,3.851485692179057,2.5,0.23860054161310862,1.5,2.5,16.180533127004534,16.180533127004534,0,0,1,1.1232018035457296,monotonic_increase,5
01.00-resazurin-20260415-36C,171,2,NA,NA,NA,171,corrected_fc,0.03964757709251099,7.880867112477419,7.880867112477419,0.03964757709251099,7,1,10.555703102716064,0.3847589769594015,10.170944125756662,9.78618514879726,26.434585636269293,0.0732735397585015,3.4939213386999652,6,0.0732735397585015,1.5,6,7.841219535384908,7.841219535384908,0,0,1,1.785961374850377,monotonic_increase,5
01.00-resazurin-20260415-36C,172,8,NA,NA,NA,172,corrected_fc,0.03964757709251099,12.021819442864032,12.021819442864032,0.03964757709251099,7,1,44.38423850317798,7.381706953633414,37.00253154954457,29.620824595911156,5.012733745997765,3.447875113112365,4.261198259559688,2.5,0.4336373143467114,4,4,11.982171865771521,11.982171865771521,0,0,1,0.7318033580040654,monotonic_increase,5
01.00-resazurin-20260415-36C,173,8,NA,NA,NA,173,corrected_fc,0.03964757709251099,2.85325002247595,2.85325002247595,0.03964757709251099,7,1,11.891281578710778,1.3857390092600916,10.505542569450686,9.119803560190594,7.581184118544853,0.2752629686235727,1.7870988042794211,2.5,0.03905421199316694,6,2.5,2.813602445383439,2.813602445383439,0,0,1,0.8347872961534578,monotonic_increase,5
01.00-resazurin-20260415-36C,174,8,NA,NA,NA,174,corrected_fc,0.03964757709251099,19.144670352563352,19.144670352563352,0.03964757709251099,7,1,53.90329062249833,6.160129583768323,47.74316103873001,41.583031454961684,7.750350116746113,3.2061430571095517,3.8699700852500154,6,2.5432396878379455,2.5,6,19.105022775470843,19.105022775470843,0,0,1,0.9498120682736692,monotonic_increase,5
01.00-resazurin-20260415-36C,175,8,NA,NA,NA,175,corrected_fc,0.03964757709251099,6.327972049217681,6.327972049217681,0.03964757709251099,7,1,10.280039495670666,0.6347713808294091,9.645268114841256,9.010496734011847,15.194869217699281,0.25228619170590927,2.4961689199453136,6,0.25228619170590927,1.5,6,6.28832447212517,6.28832447212517,0,0,1,1.514321537056161,monotonic_increase,5
