experiment,value_metric,feature,contrast,estimate,SE,df,t.ratio,p.value
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,7-1,0.023841720525080823,NA,NA,NA,0.9999981988809002
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,8-1,0.04826556063670018,NA,NA,NA,0.9997832400867376
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-1,0.049008600347669073,NA,NA,NA,0.9989207072142452
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,2-10,0.32275158666284187,NA,NA,NA,0.04750662924524429
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,3-10,0.27035052770373835,NA,NA,NA,0.06320530998319984
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,5-10,0.27192232630131774,NA,NA,NA,0.06023415107733243
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,6-10,0.2872641990839171,NA,NA,NA,0.5999214869903488
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,7-10,0.24088059537319262,NA,NA,NA,0.23216265877321918
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,8-10,0.265304435484812,NA,NA,NA,0.1925267805375921
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-10,0.26604747519578087,NA,NA,NA,0.07197981280067167
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,3-2,-0.05240105895910352,NA,NA,NA,0.9996002421869223
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,5-2,-0.05082926036152413,NA,NA,NA,0.9996810705294932
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,6-2,-0.03548738757892478,NA,NA,NA,0.9999996720764218
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,7-2,-0.08187099128964925,NA,NA,NA,0.9946524500755511
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,8-2,-0.0574471511780299,NA,NA,NA,0.9997281443774568
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-2,-0.056704111467061,NA,NA,NA,0.9992858868595083
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,5-3,0.001571798597579388,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,6-3,0.01691367138017874,NA,NA,NA,0.9999999985213861
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,7-3,-0.029469932330545734,NA,NA,NA,0.9999905660689763
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,8-3,-0.005046092218926379,NA,NA,NA,0.9999999999960842
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-3,-0.004303052507957483,NA,NA,NA,0.9999999999943976
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,6-5,0.015341872782599353,NA,NA,NA,0.9999999993208873
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,7-5,-0.031041730928125122,NA,NA,NA,0.9999858813110714
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,8-5,-0.006617890816505767,NA,NA,NA,0.9999999999651348
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-5,-0.005874851105536871,NA,NA,NA,0.9999999999319331
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,7-6,-0.046383603710724475,NA,NA,NA,0.9999966570753417
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,8-6,-0.02195976359910512,NA,NA,NA,0.999999992733686
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-6,-0.021216723888136224,NA,NA,NA,0.9999999909998138
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,8-7,0.024423840111619355,NA,NA,NA,0.999999410552058
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-7,0.02516687982258825,NA,NA,NA,0.9999972473432059
01.00-resazurin-20260415-36C,corrected_fc,stability_cv,9-8,7.430397109688958e-4,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,10-1,1.6749999999999998,NA,NA,NA,0.25613845360027265
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,2-1,-0.7749999999999959,NA,NA,NA,0.9660042366765165
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,3-1,-0.6749999999999963,NA,NA,NA,0.9504376053667773
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,5-1,-0.09999999999999831,NA,NA,NA,0.9999999621889005
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,6-1,0.7416666666666645,NA,NA,NA,0.9988948203091825
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,7-1,0.3442307692307711,NA,NA,NA,0.9997726571579061
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,8-1,-1.2749999999999981,NA,NA,NA,0.6271675155529894
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-1,-0.050000000000001155,NA,NA,NA,0.9999999998491286
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,2-10,-2.4499999999999957,NA,NA,NA,0.05406825917127245
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,3-10,-2.349999999999996,NA,NA,NA,0.020202514510065606
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,5-10,-1.7749999999999981,NA,NA,NA,0.1895794852606959
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,6-10,-0.9333333333333353,NA,NA,NA,0.9963586120375745
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,7-10,-1.3307692307692287,NA,NA,NA,0.6762077048569082
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,8-10,-2.949999999999998,NA,NA,NA,0.007611854461093692
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-10,-1.725000000000001,NA,NA,NA,0.22116306769373817
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,3-2,0.09999999999999964,NA,NA,NA,0.9999999924601157
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,5-2,0.6749999999999976,NA,NA,NA,0.9855494333458326
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,6-2,1.5166666666666604,NA,NA,NA,0.924247886887887
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,7-2,1.119230769230767,NA,NA,NA,0.8433020641089353
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,8-2,-0.5000000000000022,NA,NA,NA,0.9993305171631215
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-2,0.7249999999999948,NA,NA,NA,0.9773302369774732
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,5-3,0.574999999999998,NA,NA,NA,0.9810886023987571
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,6-3,1.4166666666666607,NA,NA,NA,0.9270235317176225
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,7-3,1.0192307692307674,NA,NA,NA,0.783122342023921
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,8-3,-0.6000000000000019,NA,NA,NA,0.9933353972956798
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-3,0.6249999999999951,NA,NA,NA,0.968430313036204
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,6-5,0.8416666666666628,NA,NA,NA,0.9972829910405386
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,7-5,0.44423076923076943,NA,NA,NA,0.9985257825094427
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,8-5,-1.1749999999999998,NA,NA,NA,0.7239765175690197
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-5,0.04999999999999716,NA,NA,NA,0.9999999998491286
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,7-6,-0.39743589743589336,NA,NA,NA,0.9999923344642165
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,8-6,-2.0166666666666626,NA,NA,NA,0.713276605197967
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-6,-0.7916666666666656,NA,NA,NA,0.9982363742048799
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,8-7,-1.6192307692307693,NA,NA,NA,0.41194291327523247
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-7,-0.39423076923077227,NA,NA,NA,0.9993791500975404
01.00-resazurin-20260415-36C,corrected_fc,time_to_min_slope,9-8,1.224999999999997,NA,NA,NA,0.676536548539118
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,10-1,-0.4999999999999982,NA,NA,NA,0.7145201374085548
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,2-1,0.4999999999999982,NA,NA,NA,0.7145201374085548
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,3-1,0.3999999999999986,NA,NA,NA,0.7365961557925451
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,5-1,0.1999999999999993,NA,NA,NA,0.994662304984089
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,6-1,-0.16666666666666607,NA,NA,NA,0.9999904742031158
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,7-1,0.03846153846153744,NA,NA,NA,0.9999999929786341
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,8-1,0.5,NA,NA,NA,0.7145201374085508
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-1,0.09999999999999876,NA,NA,NA,0.9999669212179156
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,2-10,0.9999999999999964,NA,NA,NA,0.07111153800232939
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,3-10,0.8999999999999968,NA,NA,NA,0.05158646965710856
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,5-10,0.6999999999999975,NA,NA,NA,0.2678568521897755
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,6-10,0.33333333333333215,NA,NA,NA,0.9988789366234558
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,7-10,0.5384615384615357,NA,NA,NA,0.7237711912995879
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,8-10,0.9999999999999982,NA,NA,NA,0.0711115380023285
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-10,0.599999999999997,NA,NA,NA,0.47868841362032877
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,3-2,-0.09999999999999964,NA,NA,NA,0.9999931129198147
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,5-2,-0.29999999999999893,NA,NA,NA,0.9799013572583417
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,6-2,-0.6666666666666643,NA,NA,NA,0.9058494670339358
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,7-2,-0.4615384615384608,NA,NA,NA,0.859362134696377
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,8-2,1.7763568394002505e-15,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-2,-0.39999999999999947,NA,NA,NA,0.8958353829835771
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,5-3,-0.1999999999999993,NA,NA,NA,0.994662304984089
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,6-3,-0.5666666666666647,NA,NA,NA,0.9456526196739785
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,7-3,-0.36153846153846114,NA,NA,NA,0.9048455307368786
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,8-3,0.10000000000000142,NA,NA,NA,0.9999931129198147
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-3,-0.2999999999999998,NA,NA,NA,0.933626228415672
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,6-5,-0.36666666666666536,NA,NA,NA,0.9966016687204682
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,7-5,-0.16153846153846185,NA,NA,NA,0.9994988339990548
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,8-5,0.3000000000000007,NA,NA,NA,0.9799013572583409
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-5,-0.10000000000000053,NA,NA,NA,0.9999669212179156
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,7-6,0.2051282051282035,NA,NA,NA,0.999963543229955
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,8-6,0.6666666666666661,NA,NA,NA,0.9058494670339345
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-6,0.26666666666666483,NA,NA,NA,0.9996573010041668
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,8-7,0.46153846153846256,NA,NA,NA,0.8593621346963745
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-7,0.06153846153846132,NA,NA,NA,0.9999997070482183
01.00-resazurin-20260415-36C,corrected_fc,time_to_peak,9-8,-0.40000000000000124,NA,NA,NA,0.8958353829835748
01.00-resazurin-20260415-36C,corrected_fc,trough_value,10-1,0.01189427312775329,NA,NA,NA,0.929955679373798
01.00-resazurin-20260415-36C,corrected_fc,trough_value,2-1,0.057432327813593795,NA,NA,NA,2.2323100323795586e-7
01.00-resazurin-20260415-36C,corrected_fc,trough_value,3-1,0.003964757709251119,NA,NA,NA,0.999833275346464
01.00-resazurin-20260415-36C,corrected_fc,trough_value,5-1,-0.019823788546255505,NA,NA,NA,0.17770526063873948
01.00-resazurin-20260415-36C,corrected_fc,trough_value,6-1,0.05947136563876637,NA,NA,NA,0.0027768463387090048
01.00-resazurin-20260415-36C,corrected_fc,trough_value,7-1,-0.01982378854625556,NA,NA,NA,0.3201566040557242
01.00-resazurin-20260415-36C,corrected_fc,trough_value,8-1,0.05947136563876658,NA,NA,NA,7.615216957024273e-8
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-1,-0.019823788546255546,NA,NA,NA,0.17770526063873726
01.00-resazurin-20260415-36C,corrected_fc,trough_value,2-10,0.04553805468584051,NA,NA,NA,0.0011286763956804835
01.00-resazurin-20260415-36C,corrected_fc,trough_value,3-10,-0.00792951541850217,NA,NA,NA,0.99429398228527055
01.00-resazurin-20260415-36C,corrected_fc,trough_value,5-10,-0.03171806167400879,NA,NA,NA,0.020630021986586033
01.00-resazurin-20260415-36C,corrected_fc,trough_value,6-10,0.04757709251101309,NA,NA,NA,0.06651523472076015
01.00-resazurin-20260415-36C,corrected_fc,trough_value,7-10,-0.03171806167400885,NA,NA,NA,0.04630250198067931
01.00-resazurin-20260415-36C,corrected_fc,trough_value,8-10,0.047577092511013296,NA,NA,NA,5.378495778828318e-4
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-10,-0.031718061674008834,NA,NA,NA,0.020630021986586256
01.00-resazurin-20260415-36C,corrected_fc,trough_value,3-2,-0.05346757010434268,NA,NA,NA,1.714309952993709e-6
01.00-resazurin-20260415-36C,corrected_fc,trough_value,5-2,-0.0772561163598493,NA,NA,NA,3.747002708109903e-12
01.00-resazurin-20260415-36C,corrected_fc,trough_value,6-2,0.0020390378251725766,NA,NA,NA,0.9999999970967619
01.00-resazurin-20260415-36C,corrected_fc,trough_value,7-2,-0.07725611635984936,NA,NA,NA,1.2270529037294864e-10
01.00-resazurin-20260415-36C,corrected_fc,trough_value,8-2,0.0020390378251727848,NA,NA,NA,0.9999999371210082
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-2,-0.07725611635984934,NA,NA,NA,3.747002708109903e-12
01.00-resazurin-20260415-36C,corrected_fc,trough_value,5-3,-0.023788546255506623,NA,NA,NA,0.04730890637866736
01.00-resazurin-20260415-36C,corrected_fc,trough_value,6-3,0.055506607929515256,NA,NA,NA,0.007144208679855435
01.00-resazurin-20260415-36C,corrected_fc,trough_value,7-3,-0.02378854625550668,NA,NA,NA,0.11978454019755935
01.00-resazurin-20260415-36C,corrected_fc,trough_value,8-3,0.055506607929515464,NA,NA,NA,6.063663251509865e-7
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-3,-0.023788546255506665,NA,NA,NA,0.04730890637866647
01.00-resazurin-20260415-36C,corrected_fc,trough_value,6-5,0.07929515418502188,NA,NA,NA,1.159279903173438e-5
01.00-resazurin-20260415-36C,corrected_fc,trough_value,7-5,-5.551115123125783e-17,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,trough_value,8-5,0.07929515418502209,NA,NA,NA,1.2165823903842465e-12
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-5,-4.163336342344337e-17,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,trough_value,7-6,-0.07929515418502193,NA,NA,NA,2.5614725692291174e-5
01.00-resazurin-20260415-36C,corrected_fc,trough_value,8-6,2.0816681711721685e-16,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-6,-0.07929515418502192,NA,NA,NA,1.159279903173438e-5
01.00-resazurin-20260415-36C,corrected_fc,trough_value,8-7,0.07929515418502214,NA,NA,NA,4.213907001116013e-11
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-7,1.3877787807814457e-17,NA,NA,NA,1
01.00-resazurin-20260415-36C,corrected_fc,trough_value,9-8,-0.07929515418502213,NA,NA,NA,1.2165823903842465e-12
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,10-1,1.2393192102702535e-4,NA,NA,NA,0.5346197044801294
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,2-1,-8.011061051833104e-5,NA,NA,NA,0.9282947630978367
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,3-1,-6.722115545455906e-5,NA,NA,NA,0.9169602476952378
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,5-1,-3.956443049001712e-5,NA,NA,NA,0.9969892417405968
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,6-1,1.2470955964470875e-4,NA,NA,NA,0.9380252653863516
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,7-1,-4.48191408549607e-8,NA,NA,NA,1
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,8-1,-8.011061051833129e-5,NA,NA,NA,0.9282947630978354
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-1,3.122659791467719e-6,NA,NA,NA,0.9999999999923876
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,2-10,-2.0404253154535638e-4,NA,NA,NA,0.10526489511013615
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,3-10,-1.911530764815844e-4,NA,NA,NA,0.05722596420719728
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,5-10,-1.6349635151704245e-4,NA,NA,NA,0.17350304338889833
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,6-10,7.7763861768343e-7,NA,NA,NA,1
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,7-10,-1.239767401678803e-4,NA,NA,NA,0.643422261774005
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,8-10,-2.0404253154535662e-4,NA,NA,NA,0.10526489511013504
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-10,-1.2080926123555762e-4,NA,NA,NA,0.5695376862147101
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,3-2,1.2889455063771989e-5,NA,NA,NA,0.9999998768908831
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,5-2,4.0546180028313926e-5,NA,NA,NA,0.9991548699091637
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,6-2,2.048201701630398e-4,NA,NA,NA,0.5729345003860408
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,7-2,8.006579137747608e-5,NA,NA,NA,0.9550125130350094
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,8-2,-2.439454888092385e-19,NA,NA,NA,1
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-2,8.323327030979876e-5,NA,NA,NA,0.9120222335503485
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,5-3,2.7656724964541938e-5,NA,NA,NA,0.9997759624671736
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,6-3,1.9193071509926782e-4,NA,NA,NA,0.5779074402479161
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,7-3,6.71763363137041e-5,NA,NA,NA,0.9574134667884101
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,8-3,-1.2889455063772232e-5,NA,NA,NA,0.9999998768908831
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-3,7.034381524602677e-5,NA,NA,NA,0.894816680954394
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,6-5,1.6427399013472588e-4,NA,NA,NA,0.7616915903499886
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,7-5,3.9519611349162157e-5,NA,NA,NA,0.9987159322925335
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,8-5,-4.054618002831417e-5,NA,NA,NA,0.9991548699091636
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-5,4.2687090281484836e-5,NA,NA,NA,0.9949167364102962
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,7-6,-1.247543787855637e-4,NA,NA,NA,0.9486814586649536
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,8-6,-2.0482017016304005e-4,NA,NA,NA,0.5729345003860393
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-6,-1.2158689985324105e-4,NA,NA,NA,0.94623223435806
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,8-7,-8.006579137747633e-5,NA,NA,NA,0.9550125130350087
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-7,3.1674789323226797e-6,NA,NA,NA,0.9999999999967706
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,depression_abs,9-8,8.3233270309799e-5,NA,NA,NA,0.9120222335503472
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,stability_cv,10-1,-0.21703887484811157,NA,NA,NA,0.2582782064733933
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,stability_cv,2-1,0.10571271181473019,NA,NA,NA,0.9545192071325647
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,stability_cv,3-1,0.05331165285562667,NA,NA,NA,0.9980294145587931
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,stability_cv,5-1,0.054883451453206056,NA,NA,NA,0.9975808807424289
01.00-resazurin-20260415-36C,metabolism_per_area_mm2_measurement,stability_cv,6-1,0.07022532423580541,NA,NA,NA,0.9998933422162659
