uid,Family,time,status,n_observations,experiment_id,Experiment,temperature_C,Family_identity_note
70,7,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
72,8,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
73,5,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
74,2,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
76,5,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
77,5,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
79,7,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
81,2,93,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
84,7,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
87,7,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
88,6,20,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
89,2,52.5,1,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
90,6,99.5,0,15,20260427,20260427 - 33 C,33,Observed label treated as family identity
plate-A_A01,3,48,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_A02,3,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_A03,3,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_A04,3,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_B01,3,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_B02,3,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_B03,3,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_B04,3,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_C01,3,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_C02,3,48,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_C03,3,67,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-A_C04,3,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_A01,1,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_A02,1,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_A03,1,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_A04,1,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_B01,1,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_B02,1,45,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_B03,1,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_B04,1,67,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_C01,1,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_C02,1,48,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_C03,1,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-C_C04,1,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-E_A01,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_A02,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_A03,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_A04,9B,27,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_B01,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_B02,9B,46,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_B03,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_B04,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_C01,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_C02,9B,46,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_C03,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-E_C04,9B,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-G_A01,8,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_A02,8,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_A03,8,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_A04,8,67,0,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_B01,8,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_B02,8,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_B03,8,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_B04,8,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_C01,8,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_C02,8,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_C03,8,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-G_C04,8,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_A01,10,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_A02,10,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_A03,10,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_A04,10,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_B01,10,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_B02,10,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_B03,10,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_B04,10,67,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_C01,10,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_C02,10,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_C03,10,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-I_C04,10,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-K_A01,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_A02,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_A03,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_A04,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_B01,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_B02,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_B03,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_B04,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_C01,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_C02,9,48,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_C03,9,67,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-K_C04,9,43,1,10,20260511,20260511 - 33 C,33,Ambiguous duplicate 9 label: one group is family 2 and one is family 9
plate-M_A01,5,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_A02,5,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_A03,5,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_A04,5,46,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_B01,5,67,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_B02,5,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_B03,5,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_B04,5,46,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_C01,5,67,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_C02,5,67,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_C03,5,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-M_C04,5,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_A01,7,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_A02,7,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_A03,7,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_A04,7,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_B01,7,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_B02,7,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_B03,7,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_B04,7,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_C01,7,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_C02,7,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_C03,7,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-O_C04,7,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_A01,6,24.83,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_A02,6,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_A03,6,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_A04,6,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_B01,6,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_B02,6,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_B03,6,27,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_B04,6,22,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
plate-Q_C01,6,43,1,10,20260511,20260511 - 33 C,33,Observed label treated as family identity
