plate_ID,plate_well,is_blank,family_ID.group,cup_ID.group,round.group,sample_ID.group,exclude_from_analysis,exclude_reason,weight_g.measurement,width_mm.measurement,length_mm.measurement,treatment.group,area_mm2.measurement,imageJ_ID
,B2,FALSE,5,14,3,3_14,,,,,,,,
,B3,FALSE,7,15,3,3_15,,,,,,,,
,B4,FALSE,6,16,3,3_16,,,,,,,,
,B5,FALSE,8,17,3,3_17,,,,,,,,
,B6,FALSE,9,18,3,3_18,,,,,,,,
,B7,FALSE,10,19,3,3_19,,,,,,,,
,B8,TRUE,,20,3,,,,,,,,,
,B9,FALSE,1,21,3,3_21,,,,,,,,
,B10,FALSE,2,22,3,3_22,,,,,,,,
,B11,FALSE,3,23,3,3_23,,,,,,,,
,B12,FALSE,5,24,3,3_24,,,,,,,,
,C1,FALSE,7,25,3,3_25,,,,,,,,
,C2,FALSE,6,26,3,3_26,,,,,,,,
,C3,FALSE,8,27,3,3_27,,,,,,,,
,C4,FALSE,9,28,3,3_28,,,,,,,,
,C5,FALSE,10,29,3,3_29,,,,,,,,
,C6,TRUE,,30,3,,,,,,,,,
,C7,FALSE,1,31,3,3_31,,,,,,,,
,C8,FALSE,2,32,3,3_32,,,,,,,,
,C9,FALSE,3,33,3,3_33,,,,,,,,
,C10,FALSE,5,34,3,3_34,,,,,,,,
,C11,FALSE,7,35,3,3_35,,,,,,,,
,C12,FALSE,6,36,3,3_36,,,,,,,,
,D1,FALSE,8,37,3,3_37,,,,,,,,
,D2,FALSE,9,38,3,3_38,,,,,,,,
,D3,FALSE,10,39,3,3_39,,,,,,,,
,D4,TRUE,,40,3,,,,,,,,,
,D5,FALSE,1,41,3,3_41,,,,,,,,
,D6,FALSE,2,42,3,3_42,,,,,,,,
,D7,FALSE,3,43,3,3_43,,,,,,,,
,D8,FALSE,5,44,3,3_44,,,,,,,,
,D9,FALSE,7,45,3,3_45,,,,,,,,
,D10,FALSE,6,46,3,3_46,,,,,,,,
,D11,FALSE,8,47,3,3_47,,,,,,,,
,D12,FALSE,9,48,3,3_48,,,,,,,,
,E1,FALSE,10,49,3,3_49,,,,,,,,
,E2,TRUE,,50,3,,,,,,,,,
,E3,FALSE,1,51,3,3_51,,,,,,,,
,E4,FALSE,2,52,3,3_52,,,,,,,,
,E5,FALSE,3,53,3,3_53,,,,,,,,
,E6,FALSE,5,54,3,3_54,,,,,,,,
,E7,FALSE,7,55,3,3_55,,,,,,,,
,E8,FALSE,6,56,3,3_56,,,,,,,,
,E9,FALSE,8,57,3,3_57,,,,,,,,
,E10,FALSE,9,58,3,3_58,,,,,,,,
,E11,FALSE,10,59,3,3_59,,,,,,,,
,E12,TRUE,,60,3,,,,,,,,,
